Precio Interno ,Fecha
301.000,21-oct-03
300.500,22-oct-03
304.500,23-oct-03
312.000,24-oct-03
312.000,25-oct-03
312.000,26-oct-03
320.000,27-oct-03
319.875,28-oct-03
301.000,29-oct-03
290.875,30-oct-03
284.125,31-oct-03
284.125,01-nov-03
284.125,02-nov-03
284.375,03-nov-03
288.875,04-nov-03
287.500,05-nov-03
289.000,06-nov-03
294.125,07-nov-03
294.125,08-nov-03
294.125,09-nov-03
286.000,10-nov-03
289.250,11-nov-03
305.625,12-nov-03
310.750,13-nov-03
311.500,14-nov-03
311.500,15-nov-03
311.500,16-nov-03
310.750,17-nov-03
310.875,18-nov-03
304.125,19-nov-03
299.625,20-nov-03
293.375,21-nov-03
293.375,22-nov-03
293.375,23-nov-03
297.000,24-nov-03
299.500,25-nov-03
305.500,26-nov-03
305.500,27-nov-03
305.500,28-nov-03
305.500,29-nov-03
305.500,30-nov-03
314.250,01-dic-03
323.375,02-dic-03
315.250,03-dic-03
301.250,04-dic-03
305.375,05-dic-03
305.375,06-dic-03
305.375,07-dic-03
316.875,08-dic-03
315.375,09-dic-03
310.875,10-dic-03
305.875,11-dic-03
310.625,12-dic-03
310.625,13-dic-03
310.625,14-dic-03
290.625,15-dic-03
292.500,16-dic-03
296.250,17-dic-03
295.875,18-dic-03
303.250,19-dic-03
303.250,20-dic-03
303.250,21-dic-03
303.375,22-dic-03
303.000,23-dic-03
300.250,24-dic-03
300.250,25-dic-03
300.250,26-dic-03
300.250,27-dic-03
300.250,28-dic-03
300.875,29-dic-03
304.875,30-dic-03
291.250,31-dic-03
291.250,01-ene-04
291.250,02-ene-04
291.250,03-ene-04
291.250,04-ene-04
322.875,05-ene-04
342.000,06-ene-04
335.875,07-ene-04
328.875,08-ene-04
330.750,09-ene-04
330.750,10-ene-04
330.750,11-ene-04
336.875,12-ene-04
332.625,13-ene-04
325.750,14-ene-04
323.875,15-ene-04
333.375,16-ene-04
333.375,17-ene-04
333.375,18-ene-04
333.375,19-ene-04
351.250,20-ene-04
347.000,21-ene-04
350.625,22-ene-04
352.250,23-ene-04
352.250,24-ene-04
352.250,25-ene-04
363.375,26-ene-04
368.125,27-ene-04
353.000,28-ene-04
347.250,29-ene-04
344.625,30-ene-04
344.625,31-ene-04
344.625,01-feb-04
344.625,02-feb-04
342.125,03-feb-04
329.375,04-feb-04
329.875,05-feb-04
327.125,06-feb-04
327.125,07-feb-04
327.125,08-feb-04
323.250,09-feb-04
337.125,10-feb-04
341.250,11-feb-04
346.125,12-feb-04
343.375,13-feb-04
343.375,14-feb-04
343.375,15-feb-04
343.375,16-feb-04
349.625,17-feb-04
323.625,18-feb-04
325.875,19-feb-04
320.875,20-feb-04
320.875,21-feb-04
320.875,22-feb-04
314.375,23-feb-04
329.750,24-feb-04
328.250,25-feb-04
343.250,26-feb-04
346.750,27-feb-04
346.750,28-feb-04
346.750,29-feb-04
342.250,01-mar-04
339.250,02-mar-04
329.250,03-mar-04
336.250,04-mar-04
336.625,05-mar-04
336.625,06-mar-04
336.625,07-mar-04
340.000,08-mar-04
333.875,09-mar-04
337.500,10-mar-04
346.375,11-mar-04
345.375,12-mar-04
345.375,13-mar-04
345.375,14-mar-04
348.375,15-mar-04
349.125,16-mar-04
347.750,17-mar-04
347.625,18-mar-04
352.125,19-mar-04
352.125,20-mar-04
352.125,21-mar-04
355.625,22-mar-04
355.000,23-mar-04
350.625,24-mar-04
330.375,25-mar-04
334.875,26-mar-04
334.875,27-mar-04
334.875,28-mar-04
338.250,29-mar-04
343.625,30-mar-04
344.625,31-mar-04
346.875,01-abr-04
342.750,02-abr-04
342.750,03-abr-04
342.750,04-abr-04
336.500,05-abr-04
340.375,06-abr-04
343.750,07-abr-04
341.750,08-abr-04
341.750,09-abr-04
341.750,10-abr-04
341.750,11-abr-04
336.375,12-abr-04
320.375,13-abr-04
323.750,14-abr-04
324.500,15-abr-04
318.375,16-abr-04
318.375,17-abr-04
318.375,18-abr-04
